id,name,bic,street,city,zip,country:id
BRINIDJAXXX,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BRINIDJAXXX,BRI I BUILDING FLOOR 18 44-46 JALAN JENDERAL SUDIRMAN,JAKARTA,10010,base.id
BSMDIDJAXXX,PT BANK SYARIAH MANDIRI,BSMDIDJAXXX,GEDUNG BANK SYARIAH MANDIRI JL. MH. THAMRIN 5,JAKARTA,10340,base.id
BSSPIDSPXXX,PT. BANK PEMBANGUNAN DAERAH SUMATERA SELATAN,BSSPIDSPXXX,KANTOR PUSAT BANK SUMSEL BABEL JL.GUB. H.A. BASTARI JAKABARING 7,PALEMBANG,30251,base.id
BTANIDJ10JD,"BANK TABUNGAN NEGARA (PERSERO), PT. (SURABAYA)",BTANIDJ10JD,50 JALAN PEMUDA,SURABAYA,60271,base.id
BTANIDJ10SS,"BANK TABUNGAN NEGARA (PERSERO), PT. (MEDAN)",BTANIDJ10SS,10 A JALAN PEMUDA,MEDAN,20151,base.id
BTANIDJAXXX,"BANK TABUNGAN NEGARA (PERSERO), PT. (HEAD OFFICE)",BTANIDJAXXX,MENARA BTN FLOOR 10 1 JALAN GAJAH MADA,JAKARTA,10130,base.id
BTPNIDJAXXX,"PT BANK TABUNGAN PENSIUNAN NASIONAL TBK",BTPNIDJAXXX,"MENARA BTPN 5.5-5.6 JL. DR. IDE ANAK AGUNG GDE CBD MEGA KUNINGAN",JAKARTA,12950,base.id
BUMIIDJAXXX,PT.BANK MNC INTERNASIONAL TBK.,BUMIIDJAXXX,"MENARA ICB BUMIPUTERA JI. PROBOLINGGO NO. 18, MENTENG",JAKARTA,10350,base.id
CENAIDJAXXX,BANK CENTRAL ASIA,CENAIDJAXXX,MENARA BCA FLOOR 25 JL. MH THAMRIN NO. 1 GRAND INDONESIA,JAKARTA,10310,base.id
CHASIDJXENQ,"JPMORGAN CHASE BANK, N.A., JAKARTA BRANCH (TELEX AND S.W.I.F.T. MESSAGE ENQUIRIES)",CHASIDJXENQ,,JAKARTA,,base.id
CHASIDJXKEY,"JPMORGAN CHASE BANK, N.A., JAKARTA BRANCH (TEST KEY AND BKE ADMINISTRATION)",CHASIDJXKEY,,JAKARTA,,base.id
CHASIDJXXXX,"JPMORGAN CHASE BANK, N.A., JAKARTA BRANCH",CHASIDJXXXX,21 JALAN JENDERAL SUDIRMAN KAV.,JAKARTA,12920,base.id
CICTIDJAXXX,PT. BANK JTRUST INDONESIA TBK (FORMERLY PT. BANK MUTIARA TBK),CICTIDJAXXX,INTERNATIONAL FINANCIAL CENTRE JL. JEND SUDIRMAN KAV 22-23,JAKARTA,12920,base.id
CITIIDJXBDG,"CITIBANK, N.A. (BANDUNG)",CITIIDJXBDG,,BANDUNG,,base.id
CITIIDJXMDN,"CITIBANK, N.A. (MEDAN)",CITIIDJXMDN,,MEDAN,,base.id
CITIIDJXSBY,"CITIBANK, N.A. (SURABAYA)",CITIIDJXSBY,,SURABAYA,,base.id
CITIIDJXXXX,"CITIBANK, N.A.",CITIIDJXXXX,CITIBANK TOWER - LANDMARK TOWER FLOOR 6 1 JALAN JENDERAL SUDIRMAN,JAKARTA,12910,base.id
CTCBIDJAXXX,"BANK CTBC INDONESIA, PT",CTCBIDJAXXX,WISMA TAMARA FLOOR 16 JALAN JENDERAL SUDIRMAN KAV. 24,JAKARTA,12920,base.id
DABEIDJAXXX,P.T. MERCEDES-BENZ INDONESIA,DABEIDJAXXX,DESA WANAHERAN GUNUNG PUTRI BOGOR 16965,JAKARTA,10002,base.id
DADIIDJAXXX,P.T. MERCEDES-BENZ DISTRIBUTION INDONESIA,DADIIDJAXXX,DEUTSCHE BANK BUILDING FLOOR 18 JL. IMAM BONJOL NO 80,JAKARTA,10310,base.id
DBSBIDJAIBD,"BANK DBS INDONESIA, PT (JAKARTA BRANCH)",DBSBIDJAIBD,,JAKARTA,,base.id
